SampleSizeSetting,Design ,Factor type,Factor number,Coefficient,Coefficient Level,Runs,D Efficiency,G Efficiency,A Efficiency,Power
Recommended,D Optimal,Continuous,2,beta_0,0,12,46.57,64.77,27.17,0.05
Recommended,D Optimal,Continuous,2,beta_i,0,12,46.57,64.77,27.17,0.05
Recommended,D Optimal,Continuous,2,beta_i_beta_j,0,12,46.57,64.77,27.17,0.05
Recommended,D Optimal,Continuous,2,beta_i^2,0,12,46.57,64.77,27.17,0.05
Recommended,D Optimal,Continuous,2,beta_0,0.5,12,46.57,64.77,27.17,0.089
Recommended,D Optimal,Continuous,2,beta_i,0.5,12,46.57,64.77,27.17,0.235
Recommended,D Optimal,Continuous,2,beta_i_beta_j,0.5,12,46.57,64.77,27.17,0.192
Recommended,D Optimal,Continuous,2,beta_i^2,0.5,12,46.57,64.77,27.17,0.096
Recommended,D Optimal,Continuous,2,beta_0,1,12,46.57,64.77,27.17,0.211
Recommended,D Optimal,Continuous,2,beta_i,1,12,46.57,64.77,27.17,0.685
Recommended,D Optimal,Continuous,2,beta_i_beta_j,1,12,46.57,64.77,27.17,0.575
Recommended,D Optimal,Continuous,2,beta_i^2,1,12,46.57,64.77,27.17,0.24
Recommended,D Optimal,Continuous,2,beta_0,1.5,12,46.57,64.77,27.17,0.405
Recommended,D Optimal,Continuous,2,beta_i,1.5,12,46.57,64.77,27.17,0.951
Recommended,D Optimal,Continuous,2,beta_i_beta_j,1.5,12,46.57,64.77,27.17,0.891
Recommended,D Optimal,Continuous,2,beta_i^2,1.5,12,46.57,64.77,27.17,0.458
Recommended,D Optimal,Continuous,2,beta_0,2,12,46.57,64.77,27.17,0.625
Recommended,D Optimal,Continuous,2,beta_i,2,12,46.57,64.77,27.17,0.998
Recommended,D Optimal,Continuous,2,beta_i_beta_j,2,12,46.57,64.77,27.17,0.988
Recommended,D Optimal,Continuous,2,beta_i^2,2,12,46.57,64.77,27.17,0.691
Recommended,D Optimal,Categorical,2,beta_0,0,10,97.98,80,96,0.05
Recommended,D Optimal,Categorical,2,beta_i,0,10,97.98,80,96,0.05
Recommended,D Optimal,Categorical,2,beta_i_beta_j,0,10,97.98,80,96,0.05
Recommended,D Optimal,Categorical,2,beta_i^2,0,10,97.98,80,96,NA
Recommended,D Optimal,Categorical,2,beta_0,0.5,10,97.98,80,96,0.258
Recommended,D Optimal,Categorical,2,beta_i,0.5,10,97.98,80,96,0.258
Recommended,D Optimal,Categorical,2,beta_i_beta_j,0.5,10,97.98,80,96,0.258
Recommended,D Optimal,Categorical,2,beta_i^2,0.5,10,97.98,80,96,NA
Recommended,D Optimal,Categorical,2,beta_0,1,10,97.98,80,96,0.734
Recommended,D Optimal,Categorical,2,beta_i,1,10,97.98,80,96,0.734
Recommended,D Optimal,Categorical,2,beta_i_beta_j,1,10,97.98,80,96,0.734
Recommended,D Optimal,Categorical,2,beta_i^2,1,10,97.98,80,96,NA
Recommended,D Optimal,Categorical,2,beta_0,1.5,10,97.98,80,96,0.834
Recommended,D Optimal,Categorical,2,beta_i,1.5,10,97.98,80,96,0.834
Recommended,D Optimal,Categorical,2,beta_i_beta_j,1.5,10,97.98,80,96,0.834
Recommended,D Optimal,Categorical,2,beta_i^2,1.5,10,97.98,80,96,NA
Recommended,D Optimal,Categorical,2,beta_0,2,10,97.98,80,96,0.999
Recommended,D Optimal,Categorical,2,beta_i,2,10,97.98,80,96,0.999
Recommended,D Optimal,Categorical,2,beta_i_beta_j,2,10,97.98,80,96,0.999
Recommended,D Optimal,Categorical,2,beta_i^2,2,10,97.98,80,96,NA
Recommended,D Optimal,Continuous,3,beta_0,0,16,45.86,73.32,26.35,0.05
Recommended,D Optimal,Continuous,3,beta_i,0,16,45.86,73.32,26.35,0.05
